,Composition,As-cast/other,HardGPa
375,Al31.5Co13.7Cr13.7Cu13.7Fe13.7Ni13.7,1.0,5.9
376,Al31.5Cr13.7Fe13.7Co13.7Cu13.7Ni13.7,1.0,5.9
377,Al31Co17.2Cr17.2Cu17.2Fe17.2,1.0,5.46
378,Al31Co17.2Cr17.2Fe17.2Ni17.2,1.0,4.73
379,Al31Cr17.2Fe17.2Co17.2Cu17.2,1.0,5.46
380,Al31Cr17.2Fe17.2Co17.2Ni17.2,1.0,4.73
381,Al33.3Co13.3Cr13.3Cu13.3Fe13.3Ni13.3,1.0,6.11
382,Al33.3Co16.7Cr16.7Cu16.7Fe16.7,1.0,5.56
383,Al33.3Cr13.3Cu13.3Fe13.3Ni26.7,1.0,5.82
384,Al33.3Cr13.3Fe13.3Co13.3Cu13.3Ni13.3,1.0,6.11
385,Al33.3Cr13.3Fe13.3Cu13.3Ni26.7,1.0,5.82
386,Al33.3Cr16.7Cu16.7Fe16.7Ni16.7,1.0,6.38
387,Al33.3Cr16.7Fe16.7Co16.7Cu16.7,1.0,5.56
388,Al33.3Cr16.7Fe16.7Cu16.7Ni16.7,1.0,6.38
389,Al34Co17Cr34Fe5Ni10,1.0,6.86
390,Al34Cr34Fe5Co17Ni10,1.0,6.86
391,Al35.9Co12.8Cr12.8Cu12.8Fe12.8Ni12.8,1.0,6.4
392,Al35.9Cr12.8Fe12.8Co12.8Cu12.8Ni12.8,1.0,6.4
393,Al36.5Co15.9Cr15.9Cu15.9Fe15.9,1.0,5.91
394,Al36.5Cr15.9Fe15.9Co15.9Cu15.9,1.0,5.91
395,Al36Co10Cr31Cu6Fe9Ni8,1.0,7.75
396,Al36Co6Ni11Mo38W9,1.0,7.11
397,Al36Cr31Fe9Co10(Cu3Ni4)2,1.0,7.75
398,Al37.5Co12.5Cr12.5Cu12.5Fe12.5Ni12.5,1.0,6.75
399,Al37.5Cr12.5Fe12.5Co12.5Cu12.5Ni12.5,1.0,6.75
400,Al38.5Co15.4Cr15.4Cu15.4Fe15.4,1.0,6.12
401,Al38.5Co15.4Cr15.4Fe15.4Ni15.4,1.0,6.82
402,Al38.5Cr15.4Fe15.4Co15.4Cu15.4,1.0,6.12
403,Al38.5Cr15.4Fe15.4Co15.4Ni15.4,1.0,6.82
404,Al38Co11Cr6Cu9Fe31Ni5,1.0,5.92
405,Al38Cr6Fe31Co11Cu9Ni5,1.0,5.92
406,Al39Co10Cr31Cu5Fe8Ni7,1.0,7.87
407,Al39Cr31Fe8Co10Cu5Ni7,1.0,7.87
408,Al3Cr2Fe5(CoNi)5,1.0,2.45
409,Al3Cr4Fe4Co4CuNi4,1.0,3.68
410,Al3CrFeCoNi,1.0,4.96
411,Al4.8Co23.8Cr23.8Fe23.8Ni23.8,1.0,1.66
412,Al4.8Cr23.8Cu23.8Ni23.8Ti23.8,1.0,3.69
413,Al4.8Cr23.8Fe23.8Co23.8Ni23.8,1.0,1.66
414,Al40Co13.3Cr6.7Cu13.3Fe20Ni6.7,1.0,7.53
415,Al40Co20Cr20Fe20,1.0,7.6
416,Al40Cr6.7Fe20Co13.3Cu13.3Ni6.7,1.0,7.53
417,Al41.2Co14.7Cr14.7Cu14.7Fe14.7,1.0,6.44
418,Al41.2Cr14.7Fe14.7Co14.7Cu14.7,1.0,6.44
419,Al42.9Co14.3Cr14.3Cu14.3Fe14.3,1.0,6.32
420,Al42.9Co14.3Cr14.3Cu7.1Fe7.1Ni14.3,1.0,7.06
421,Al42.9Co14.3Cr14.3Fe14.3Ni14.3,1.0,7.26
422,Al42.9Co14.3Cr7.1Cu7.1Fe7.1Ni21.4,1.0,5.8
423,Al42.9Co21.4Cr7.1Cu7.1Fe7.1Ni14.3,1.0,6.87
424,Al42.9Co7.1Cr14.3Cu7.1Fe14.3Ni14.3,1.0,6.81
425,Al42.9Cr14.3Fe14.3Co14.3Cu14.3,1.0,6.32
426,Al42.9Cr14.3Fe14.3Co14.3Ni14.3,1.0,7.26
427,Al42.9Cr14.3Fe14.3Co7.1Cu7.1Ni14.3,1.0,6.81
428,Al42.9Cr14.3Fe7.1Co14.3Cu7.1Ni14.3,1.0,7.06
429,Al42.9Cr7.1Fe7.1Co14.3Cu7.1Ni21.4,1.0,5.8
430,Al42.9Cr7.1Fe7.1Co21.4Cu7.1Ni14.3,1.0,6.87
431,Al42Co10Cr30Cu5Fe7Ni6,1.0,7.68
432,Al42Cr30Fe7Co10Cu5Ni6,1.0,7.68
433,Al43Co14Cr21Cu5Fe12Ni5,1.0,8.12
434,Al43Co15Cr17Cu5Fe14Ni6,1.0,7.79
435,Al43Co17Cr15Fe14Ni11,1.0,7.9
436,Al43Co18Cr20Fe12Ni7,1.0,8.47
437,Al43Co18Cr24Fe10Ni5,1.0,8.39
438,Al43Co19Cr19Fe11Ni8,1.0,8.38
439,Al43Co19Cr24Fe8Ni6,1.0,8.38
440,Al43Co20Cr19Fe9Ni9,1.0,8.0
441,Al43Co20Cr21Fe9Ni7,1.0,8.12
442,Al43Co20Cr22Fe8Ni7,1.0,8.4
443,Al43Co22Cr22Fe8Ni5,1.0,8.65
444,Al43Co22Cr23Fe7Ni5,1.0,8.66
445,Al43Co22Cr25Fe5Ni5,1.0,8.32
446,Al43Co23Cr21Fe8Ni5,1.0,8.46
447,Al43Co24Cr22Fe5Ni6,1.0,8.58
448,Al43Co24Cr23Fe5Ni5,1.0,8.51
449,Al43Co25Cr22Fe5Ni5,1.0,8.48
450,Al43Co29Cr18Fe5Ni5,1.0,7.67
451,Al43Co6Cr33Cu6Fe6Ni6,1.0,7.49
452,Al43Cr15Fe14Co17Ni11,1.0,7.9
453,Al43Cr17Fe14Co15Cu5Ni6,1.0,7.79
454,Al43Cr18Fe5Co29Ni5,1.0,7.67
455,Al43Cr19Fe11Co19Ni8,1.0,8.38
456,Al43Cr19Fe9Co20Ni9,1.0,8.0
457,Al43Cr20Fe12Co18Ni7,1.0,8.47
458,Al43Cr21Fe12Co14(CuNi)5,1.0,8.12
459,Al43Cr21Fe8Co23Ni5,1.0,8.46
460,Al43Cr21Fe9Co20Ni7,1.0,8.12
461,Al43Cr22Fe5(Co4Ni)6,1.0,8.58
462,Al43Cr22Fe5(Co5Ni)5,1.0,8.48
463,Al43Cr22Fe8Co20Ni7,1.0,8.4
464,Al43Cr22Fe8Co22Ni5,1.0,8.65
465,Al43Cr23Fe5Co24Ni5,1.0,8.51
466,Al43Cr23Fe7Co22Ni5,1.0,8.66
467,Al43Cr24Fe10Co18Ni5,1.0,8.39
468,Al43Cr24Fe8Co19Ni6,1.0,8.38
469,Al43Cr25Fe5Co22Ni5,1.0,8.32
470,Al43Cr33Fe6Co6(CuNi)6,1.0,7.49
471,Al44Co14Cr22Cu5Fe9Ni6,1.0,7.75
472,Al44Cr22Fe9Co14Cu5Ni6,1.0,7.75
473,Al46.2Co15.4Cr7.7Cu7.7Fe15.4Ni7.7,1.0,6.88
474,Al46.2Cr7.7Fe15.4Co15.4Cu7.7Ni7.7,1.0,6.88
475,Al46Co14Cr23Cu5Fe7Ni5,1.0,7.95
476,Al46Co21Cr18Cu5Fe5Ni5,1.0,8.24
477,Al46Cr18Fe5Co21(CuNi)5,1.0,8.24
478,Al46Cr23Fe7Co14(CuNi)5,1.0,7.95
479,Al47Co11Cr22Cu5Fe10Ni5,1.0,7.82
480,Al47Co12Cr12Cu5Fe13Ni11,1.0,7.95
481,Al47Co12Cr20Cu5Fe11Ni5,1.0,8.27
482,Al47Co13Cr13Cu5Fe12Ni10,1.0,7.84
483,Al47Co13Cr20Cu5Fe10Ni5,1.0,7.89
484,Al47Co14Cr15Cu5Fe13Ni6,1.0,7.14
485,Al47Co14Cr19Cu5Fe10Ni5,1.0,8.38
486,Al47Co14Cr20Cu5Fe9Ni5,1.0,8.42
487,Al47Co17Cr16Cu5Fe10Ni5,1.0,8.25
488,Al47Co18Cr15Cu5Fe10Ni5,1.0,8.33
489,Al47Co19Cr19Cu5Fe5Ni5,1.0,8.61
490,Al47Co20Cr18Cu5Fe5Ni5,1.0,8.66
491,Al47Co7Cr16Cu9Fe16Ni5,1.0,7.35
492,Al47Cr12Fe13Co12Cu5Ni11,1.0,7.95
493,Al47Cr13Fe12Co13(CuNi2)5,1.0,7.84
494,Al47Cr15Fe10Co18(CuNi)5,1.0,8.33
495,Al47Cr15Fe13Co14Cu5Ni6,1.0,7.14
496,Al47Cr16Fe10Co17(CuNi)5,1.0,8.25
497,Al47Cr16Fe16Co7Cu9Ni5,1.0,7.35
498,Al47Cr18Fe5Co20(CuNi)5,1.0,8.66
499,Al47Cr19Fe10Co14(CuNi)5,1.0,8.38
500,Al47Cr19Fe5Co19(CuNi)5,1.0,8.61
501,Al47Cr20Fe10Co13(CuNi)5,1.0,7.89
502,Al47Cr20Fe11Co12(CuNi)5,1.0,8.27
503,Al47Cr20Fe9Co14(CuNi)5,1.0,8.42
504,Al47Cr22Fe10Co11(CuNi)5,1.0,7.82
505,Al4CrFe5(CoNi)5,1.0,3.79
506,Al5.3Co21.1Cr21.1Fe26.3Ni26.3,1.0,1.65
507,Al5.3Cr21.1Fe26.3Co21.1Ni26.3,1.0,1.65
508,Al5.7Co18.9Cr18.9Cu18.9Fe18.9Ni18.9,1.0,1.79
509,Al5.7Cr18.9Cu18.9Fe18.9Ni37.7,1.0,1.67
510,Al5.7Cr18.9Fe18.9Co18.9Cu18.9Ni18.9,1.0,1.79
511,Al5.7Cr18.9Fe18.9Cu18.9Ni37.7,1.0,1.67
512,Al5.9Co23.5Cr23.5Fe23.5Ni23.5,1.0,1.08
513,Al5.9Cr23.5Fe23.5Co23.5Ni23.5,1.0,1.08
514,Al5Co22.5Cr25Cu22.5Ni25,1.0,1.62
515,Al5Co25Cr20Fe25Ni25,1.0,1.44
516,Al5Co31.7Cr31.7Fe31.7,1.0,4.66
517,Al5Cr25Co22.5Cu22.5Ni25,1.0,1.62
518,Al5Cr31.7Fe31.7Co31.7,1.0,4.66
519,Al6.1Co20.4Cr20.4Fe20.4Ni20.4Mn12.2,1.0,1.32
520,Al6.3Cr31.3Fe46.9Ni15.6,1.0,2.98
521,Al6.5Co21.7Cr21.7Fe21.7Ni21.7Mn6.5,1.0,1.44
522,Al6.7Co13.3Cr13.3Cu13.3Fe13.3Ni13.3Ti26.7,1.0,6.83
523,Al6.7Co13.3Cr13.3Cu13.3Fe13.3Ni13.3V26.7,1.0,5.76
524,Al6.7V26.7Cr13.3Fe13.3Co13.3Cu13.3Ni13.3,1.0,5.76
525,Al6.8Co13.7Cr13.7Cu13.7Fe13.7Ni13.7Ti24.7,1.0,6.54
526,Al6.8Co13.7Cr13.7Cu13.7Fe13.7Ni13.7V24.7,1.0,5.85
527,Al6.8V24.7Cr13.7Fe13.7Co13.7Cu13.7Ni13.7,1.0,5.85
528,Al7.1Co18.6Cr18.6Fe18.6Ni18.6Mn18.6,1.0,1.78
529,Al7.2Co14.5Cr14.5Cu14.5Fe14.5Ni14.5Ti20.3,1.0,6.51
530,Al7.2Co14.5Cr14.5Cu14.5Fe14.5Ni14.5V20.3,1.0,5.66
531,Al7.2V20.3Cr14.5Fe14.5Co14.5Cu14.5Ni14.5,1.0,5.66
532,Al7.4Cr18.5Cu18.5Fe18.5Ni37,1.0,1.96
533,Al7.4Cr18.5Fe18.5Cu18.5Ni37,1.0,1.96
534,Al7.5Co14.9Cr14.9Cu14.9Fe14.9Ni14.9Ti17.9,1.0,6.34
535,Al7.5Co14.9Cr14.9Cu14.9Fe14.9Ni14.9V17.9,1.0,5.68
536,Al7.5Co25Cr17.5Fe25Ni25,1.0,1.72
537,Al7.5Cr17.5Fe25Co25Ni25,1.0,1.72
538,Al7.5V17.9Cr14.9Fe14.9Co14.9Cu14.9Ni14.9,1.0,5.68
539,Al7.7Co15.4Cr15.4Cu15.4Fe15.4Ni15.4Ti15.4,1.0,6.24
540,Al7.7Co15.4Cr15.4Cu15.4Fe15.4Ni15.4V15.4,1.0,6.27
541,Al7.7Co30.8Fe30.8Ni30.8,1.0,1.34
542,Al7.7Cr15.4Cu15.4Fe15.4Ni15.4Ti15.4V15.4,1.0,5.82
543,Al7.7Fe30.8Co30.8Ni30.8,1.0,1.34
544,Al7.7V15.4Cr15.4Fe15.4Co15.4Cu15.4Ni15.4,1.0,6.27
545,Al7.9Co15.9Cr15.9Cu15.9Fe15.9Ni15.9Ti12.7,1.0,5.79
546,Al7.9Co15.9Cr15.9Cu15.9Fe15.9Ni15.9V12.7,1.0,4.38
547,Al7.9Co18.4Cr18.4Fe18.4Ni18.4Mn18.4,1.0,1.79
548,Al7.9V12.7Cr15.9Fe15.9Co15.9Cu15.9Ni15.9,1.0,4.38
549,Al7Co14.1Cr14.1Cu14.1Fe14.1Ni14.1Ti22.5,1.0,6.44
550,Al7Co14.1Cr14.1Cu14.1Fe14.1Ni14.1V22.5,1.0,5.83
551,Al7Co23.3Cr23.3Cu23.3Fe23.3,1.0,1.77
552,Al7Co23.3Cr23.3Fe23.3Ni23.3,1.0,1.63
553,Al7Cr23.3Fe23.3Co23.3Cu23.3,1.0,1.77
554,Al7Cr23.3Fe23.3Co23.3Ni23.3,1.0,1.63
555,Al7Cr23.3Fe23.3Ni46.5,1.0,1.46
556,Al7Cr23.3Fe34.9Ni11.6Mn23.3,1.0,2.91
557,Al7V22.5Cr14.1Fe14.1Co14.1Cu14.1Ni14.1,1.0,5.83
558,Al8.2Co16.4Cr16.4Cu16.4Fe16.4Ni16.4Ti9.8,1.0,4.49
559,Al8.2Co16.4Cr16.4Cu16.4Fe16.4Ni16.4V9.8,1.0,3.22
560,Al8.2V9.8Cr16.4Fe16.4Co16.4Cu16.4Ni16.4,1.0,3.22
561,Al8.5Co16.9Cr16.9Cu16.9Fe16.9Ni16.9Ti6.8,1.0,3.15
562,Al8.5Co16.9Cr16.9Cu16.9Fe16.9Ni16.9V6.8,1.0,2.27
563,Al8.5V6.8Cr16.9Fe16.9Co16.9Cu16.9Ni16.9,1.0,2.27
564,Al8.6Co22.9Cr22.9Fe22.9Ni22.9,1.0,1.28
565,Al8.6Cr22.9Fe22.9Co22.9Ni22.9,1.0,1.28
566,Al8.8Co17.5Cr17.5Cu17.5Fe17.5Ni17.5Ti3.5,1.0,2.67
567,Al8.8Co17.5Cr17.5Cu17.5Fe17.5Ni17.5V3.5,1.0,2.0
568,Al8.8V3.5Cr17.5Fe17.5Co17.5Cu17.5Ni17.5,1.0,2.0
569,Al8.9Co18.2Cr18.2Fe18.2Ni18.2Mn18.2,1.0,2.16
570,Al8Co17Cr17Cu8Fe17Ni33,1.0,2.75
572,Al9.1Cr18.2Cu18.2Fe18.2Ni36.4,1.0,2.33
573,Al9.1Cr18.2Fe18.2Cu18.2Ni36.4,1.0,2.33
574,Al9.1Cr22.7Cu22.7Ni22.7Ti22.7,1.0,3.84
575,Al9.5Co19Cr19Cu14.3Fe19Ni19,1.0,2.36
576,Al9.5Cr19Fe19Co19Cu14.3Ni19,1.0,2.36
577,Al9.8Co19.6Cr19.6Fe19.6Ni19.6Mn11.8,1.0,1.58
578,Al9Cr5Fe5Co15Ni15Mo,1.0,3.56
579,Al9Cr5Fe5Co15Ni16,1.0,3.0
580,AlCr2Fe2Co2CuNi2,1.0,2.36
581,AlCr2Fe2Co2Ni2Mo,1.0,4.32
582,AlCr3(FeCo)3,1.0,6.08
583,AlCr4Fe5(CoNi)5,1.0,1.44
584,AlCrCoCuNi,1.0,4.07
585,AlCrCoNi,1.0,9.29
586,AlCrFeCo,1.0,7.06
587,AlCrFeCoCu,1.0,3.99
588,AlCrFeCoCuNi,1.0,4.5600000000000005
591,AlCrFeNi,1.0,4.63
592,AlCrFeNiMo,1.0,8.88
593,AlFeCoCuNi,1.0,4.786666666666666
594,AlFeCoCuNi2,1.0,2.93
595,AlFeCoCuNi3,1.0,2.74
596,AlFeCoNi,1.0,4.425
597,AlFeCoNiMo,1.0,7.36
598,Co10Cr10Fe40Mn40,1.0,1.29
599,Co10Cr10Fe50Mn30,1.0,3.73
600,Co10Cr22.5Cu22.5Fe22.5Ni22.5,1.0,1.47
601,Co10Fe40Ni10Mn40,1.0,1.33
602,Co14.3Cr14.3Fe57.1Ni14.3,1.0,1.07
603,Co15.4Cu15.4Fe15.4Ni15.4Ti23.1V15.4,1.0,5.78
604,Co15.4Cu7.7Fe15.4Ni15.4Ti30.8V15.4,1.0,6.47
605,Co15Cr21.3Cu21.3Fe21.3Ni21.3,1.0,1.55
606,Co16.7Cr16.7Cu16.7Fe16.7Ni33.3,1.0,1.55
607,Co16.7Cr16.7Cu16.7Fe33.3Ni16.7,1.0,1.54
608,Co16.7Cr16.7Fe16.7Ni16.7Mn16.7V16.7,1.0,6.37
609,Co16.7Cr16.7Fe16.7Ni16.7V33.3,1.0,9.02
610,Co16.7Cr16.7Fe50Ni16.7,1.0,1.13
611,Co16.7Cr33.3Cu16.7Fe16.7Ni16.7,1.0,1.69
612,Co16.7Cu8.3Fe16.7Ni16.7Ti25V16.7,1.0,6.51
613,Co17.4Cr17.4Fe17.4Ni17.4Mn17.4V13,1.0,3.35
614,Co18.2Cr18.2Fe18.2Ni18.2Mn18.2V9.1,1.0,1.82
615,Co18.2Cr18.2Fe18.2Ni18.2V27.3,1.0,8.78
616,Co18.2Cu9.1Fe18.2Ni18.2Ti18.2V18.2,1.0,6.77
617,Co19Cr19Fe19Ni19Mn19V4.8,1.0,1.48
618,Co20Cr20Cu20Fe20Ni20,1.0,1.41
619,Co20Cr20Fe20Ni20Mn20,1.0,1.16
620,Co20Cr20Fe20Ni20Ti20,1.0,8.7
621,Co20Cr20Fe20Ni20V20,1.0,4.94
622,Co20Cr20Fe20Ni40,1.0,1.23
623,Co20Cr20Fe40Ni20,1.0,1.22
624,Co20Cu10Fe20Ni20Ti10V20,1.0,5.35
625,Co20Cu20Fe20Ni20Mn20,1.0,2.04
626,Co21.3Cr15Cu21.3Fe21.3Ni21.3,1.0,1.58
627,Co21.3Cr21.3Cu21.3Fe15Ni21.3,1.0,1.68
628,Co21.3Cr21.3Cu21.3Fe21.3Ni15,1.0,1.64
629,Co22.2Cr22.2Cu11.1Fe22.2Ni22.2,1.0,1.69
630,Co22.2Cr22.2Fe22.2Ni22.2Mo11.1,1.0,2.16
631,Co22.2Cr22.2Fe22.2Ni22.2V11.1,1.0,4.61
632,Co22.2Cu11.1Fe22.2Ni22.2V22.2,1.0,2.1
633,Co22.5Cr10Cu22.5Fe22.5Ni22.5,1.0,1.55
634,Co22.5Cr22.5Cu22.5Fe10Ni22.5,1.0,1.69
635,Co22.5Cr22.5Cu22.5Fe22.5Ni10,1.0,1.67
636,Co23.8Cr23.8Cu23.8Fe5Ni23.8,1.0,1.78
637,Co23.8Cr5Cu23.8Fe23.8Ni23.8,1.0,1.5
638,Co24.4Cr24.4Fe24.4Ni24.4Mo2.4,1.0,1.47
639,Co25Cr16.7Fe16.7Ni25Ti16.7,1.0,5.85
640,Co25Cr25Cu25Fe25,1.0,1.31
641,Co25Cr25Cu25Ni25,1.0,1.79
642,Co25Cr25Fe25Mn25,1.0,3.04
643,Co25Cr25Fe25Ni25,1.0,1.53
644,Co25Cu25Fe25Ni25,1.0,1.51
645,Co25Fe25Ni25Mn25,1.0,1.35
646,Co25Fe25Ni25Mo25,1.0,4.49
647,Co26.7Cr26.7Fe26.7Ni20,1.0,1.37
648,Co27.3Cr18.2Fe18.2Ni27.3Ti9.1,1.0,4.39
649,Co28.3Cr28.3Fe28.3Ni15,1.0,1.67
650,Co33.3Cr16.7Cu16.7Fe16.7Ni16.7,1.0,1.72
651,Co5Cr23.8Cu23.8Fe23.8Ni23.8,1.0,1.43
652,Cr10Fe22.5Co22.5Cu22.5Ni22.5,1.0,1.55
653,Cr10Fe50Ni10Mn30,1.0,1.33
654,Cr14.3Fe57.1Co14.3Ni14.3,1.0,1.07
655,Cr15Fe21.3Co21.3Cu21.3Ni21.3,1.0,1.58
656,Cr16.7Cu16.7Fe16.7Ni16.7Ti16.7V16.7,1.0,6.44
657,Cr16.7Fe16.7Co16.7Cu16.7Ni33.3,1.0,1.55
658,Cr16.7Fe16.7Co33.3Cu16.7Ni16.7,1.0,1.72
659,Cr16.7Fe16.7Mo16.7Ti33.3V16.7,1.0,6.72
660,Cr16.7Fe33.3Co16.7Cu16.7Ni16.7,1.0,1.54
661,Cr16.7Fe50Co16.7Ni16.7,1.0,1.13
662,Cr18.2Fe18.2Mo18.2Ti27.3V18.2,1.0,7.21
663,Cr18Fe50Ni10Mn22,1.0,1.46
664,Cr1Fe1Co1Cu0.5Ni1,1.0,1.69
665,Cr1Fe1Co1Ni1Mo0.5,1.0,2.06
666,Cr1Fe1Co1Ni1W0.2,1.0,2.39
667,Cr1Fe1Co1Ni1W0.5,1.0,3.51
668,Cr20Cu20Fe20Ni20Mn20,1.0,2.9
669,Cr20Cu20Fe20Ni20Mo20,1.0,2.58
670,Cr20Cu20Fe20Ni20Ti20,1.0,6.44
671,Cr20Fe20Mo20Ti20V20,1.0,8.4
672,Cr21.1Cu15.8Fe21.1Ni21.1Ti21.1,1.0,6.48
673,Cr21.3Fe15Co21.3Cu21.3Ni21.3,1.0,1.68
674,Cr21.3Fe21.3Co15Cu21.3Ni21.3,1.0,1.55
675,Cr21.3Fe21.3Co21.3Cu21.3Ni15,1.0,1.64
676,Cr21.5Cu3.2Fe21.5Ni32.3Mn21.5,1.0,1.25
677,Cr22.2Cu11.1Fe22.2Ni22.2Ti22.2,1.0,7.13
678,Cr22.2Fe22.2Co22.2Cu11.1Ni22.2,1.0,1.69
679,Cr22.2Fe22.2Co22.2Ni22.2Mo11.1,1.0,2.16
680,Cr22.2Fe22.2Mo22.2Ti11.1V22.2,1.0,8.02
681,Cr22.5Fe10Co22.5Cu22.5Ni22.5,1.0,1.69
682,Cr22.5Fe22.5Co10Cu22.5Ni22.5,1.0,1.47
683,Cr22.5Fe22.5Co22.5Cu22.5Ni10,1.0,1.67
684,Cr23.5Cu5.9Fe23.5Ni23.5Ti23.5,1.0,8.09
685,Cr23.8Fe23.8Co5Cu23.8Ni23.8,1.0,1.43
686,Cr23.8Fe5Co23.8Cu23.8Ni23.8,1.0,1.78
688,Cr24.4Cu2.4Fe24.4Ni24.4Ti24.4,1.0,8.18
689,Cr24.4Fe24.4Co24.4Ni24.4Mo2.4,1.0,1.47
690,Cr25Cu25Fe25Ni25,1.0,1.4
691,Cr25Fe25Mo25V25,1.0,7.06
692,Cr26.7Fe26.7Co26.7Ni20,1.0,1.37
693,Cr28.3Fe28.3Co28.3Ni15,1.0,1.67
694,Cr33.3Fe16.7Co16.7Cu16.7Ni16.7,1.0,1.69
695,Cr5Fe23.8Co23.8Cu23.8Ni23.8,1.0,1.5
696,CrCoCuNi,1.0,1.79
698,CrFe2CoNi,1.0,1.22
699,CrFeCoCu,1.0,1.31
700,CrFeCoCuNi,1.0,1.9266666666666663
702,CrFeCoNi2,1.0,1.23
703,CrFeCuNi,1.0,1.4
704,CrFeCuNiMo,1.0,2.58
705,FeCoCuNi,1.0,1.51
706,FeCoNi,1.0,1.23
707,FeCoNiMo,1.0,4.49
708,Hf0.5Zr1Ta0.5Ti1.5Nb0.5,1.0,2.95
709,Hf0.5Zr1Ti1Nb1Mo0.5,1.0,3.92
710,Hf0.5Zr1Ti2Nb0.25V1,1.0,3.26
711,Hf0.5Zr1Ti2Nb0.5V1,1.0,3.16
712,Hf0.5Zr1Ti2Nb0.75V1,1.0,3.13
713,Hf0.5Zr1Ti2Nb1V1,1.0,3.0400000000000005
714,Hf0.5Zr1Ti2V1,1.0,3.32
716,Hf16.66Zr16.66Ta16.66Ti16.66Nb16.66Mo16.66,1.0,4.95
717,Hf16.66Zr16.66Ta16.66Ti16.66Nb16.66V16.66,1.0,5.47
719,Hf1Zr1Ta1Ti1Nb1Al0.3,1.0,3.46
720,Hf1Zr1Ta1Ti1Nb1Al0.5,1.0,3.88
721,Hf1Zr1Ta1Ti1Nb1Al0.75,1.0,4.19
722,Hf1Zr1Ta1Ti1Nb1Mo0.25,1.0,3.87
723,Hf1Zr1Ta1Ti1Nb1Mo0.5,1.0,4.71
724,Hf1Zr1Ta1Ti1Nb1Mo0.75,1.0,4.83
727,HfZrTaTiMo,1.0,5.32
729,HfZrTaTiNbAl,1.0,4.32
730,HfZrTaTiNbMo,1.0,4.95
731,HfZrTi,1.0,2.07
735,Mn10.7Al17.9Cr17.9Fe17.9Co17.9Ni17.9,1.0,4.8
736,Mn11.8Al9.8Cr19.6Fe19.6Co19.6Ni19.6,1.0,1.58
737,Mn11Cr9(Fe5Ni)5,1.0,1.46
738,Mn12.2Al6.1Cr20.4Fe20.4Co20.4Ni20.4,1.0,1.32
739,Mn15.4Al23.1Cr15.4Fe15.4Cu15.4Ni15.4,1.0,7.04
740,Mn16.7V16.7Cr16.7Fe16.7Co16.7Ni16.7,1.0,6.37
741,Mn16.8Al16Cr16.8Fe16.8Co16.8Ni16.8,1.0,5.25
742,Mn17.2Al13.9Cr17.2Fe17.2Co17.2Ni17.2,1.0,5.29
743,Mn17.4Al13Cr17.4Fe17.4Co17.4Ni17.4,1.0,5.2
744,Mn17.4V13Cr17.4Fe17.4Co17.4Ni17.4,1.0,3.35
745,Mn17.6Al12Cr17.6Fe17.6Co17.6Ni17.6,1.0,4.77
746,Mn17.8Al11Cr17.8Fe17.8Co17.8Ni17.8,1.0,3.97
747,Mn17Al15Cr17Fe17(CoNi)17,1.0,5.23
748,Mn18.2Al8.9Cr18.2Fe18.2Co18.2Ni18.2,1.0,2.16
749,Mn18.2V9.1Cr18.2Fe18.2Co18.2Ni18.2,1.0,1.82
750,Mn18.4Al7.9Cr18.4Fe18.4Co18.4Ni18.4,1.0,1.79
751,Mn18.6Al7.1Cr18.6Fe18.6Co18.6Ni18.6,1.0,1.78
752,Mn18Al10.1Cr18Fe18Co18Ni18,1.0,2.73
753,Mn19.2Al3.8Cr19.2Fe19.2Co19.2Ni19.2,1.0,1.68
754,Mn19.6Al2Cr19.6Fe19.6Co19.6Ni19.6,1.0,1.77
755,Mn19V4.8Cr19Fe19Co19Ni19,1.0,1.48
756,Mn1Al0.1Cr1Fe1Co1Ni1,1.0,3.005
757,Mn1Al0.2Cr1Fe1Co1Ni1,1.0,1.68
758,Mn1Al0.38Cr1Fe1Co1Ni1,1.0,1.78
759,Mn1Al0.3Cr1Fe1.5Ni0.5,1.0,2.91
760,Mn1Al0.3Cr1Fe1Co1Ni1,1.0,5.01
761,Mn1Al0.43Cr1Fe1Co1Ni1,1.0,1.79
762,Mn1Al0.49Cr1Fe1Co1Ni1,1.0,2.16
763,Mn1Al0.56Cr1Fe1Co1Ni1,1.0,2.73
764,Mn1Al0.5Cr1Fe1.5Ni0.5,1.0,3.88
765,Mn1Al0.5Cr1Fe1Co1Ni1,1.0,5.42
766,Mn1Al0.5Cr1Fe1Ni1,1.0,3.46
767,Mn1Al0.62Cr1Fe1Co1Ni1,1.0,3.97
768,Mn1Al0.68Cr1Fe1Co1Ni1,1.0,4.77
769,Mn1Al0.6Cr1Fe1Ni1,1.0,3.54
770,Mn1Al0.75Cr1Fe1Co1Ni1,1.0,5.2
771,Mn1Al0.7Cr1Fe1Co1Ni1,1.0,6.1
772,Mn1Al0.7Cr1Fe1Ni1,1.0,3.68
773,Mn1Al0.81Cr1Fe1Co1Ni1,1.0,5.29
774,Mn1Al0.88Cr1Fe1Co1Ni1,1.0,5.23
775,Mn1Al0.8Cr1Fe1Ni1,1.0,3.79
776,Mn1Al0.95Cr1Fe1Co1Ni1,1.0,5.25
777,Mn1Al1.25Cr1Fe1Co1Ni1,1.0,5.29
784,Mn21.5Cr21.5Fe21.5Cu3.2Ni32.3,1.0,1.25
